states,Avg0,frust0
01011100,0.09079,0.0625
10010010,0.00905,0.125
10100011,0.11036,0.0625
01100100,0.13252,0.0625
01000100,0.02429,0.0
10111000,0.00058,0.1875
00101010,0.00049,0.0
11000000,0.00041,0.0
01000101,0.007,0.0625
11011001,0.00345,0.1875
10001011,0.02237,0.0
00101101,0.00052,0.0625
00100000,0.00039,0.0
00100100,0.00948,0.0
00100111,0.003,0.1875
10000011,0.218,0.0
01000000,0.00013,0.0
01101101,0.00141,0.125
01100101,0.01163,0.125
00000000,0.00049,0.0
11011000,0.00839,0.0625
00100101,0.00514,0.0625
10101011,0.04215,0.0625
10111010,0.00193,0.25
00101111,0.00051,0.1875
00100110,0.00181,0.125
01010100,0.12278,0.0625
00100010,0.00051,0.0
11000001,0.00048,0.0
01000001,0.00032,0.0
11010000,0.00504,0.0625
10011010,0.01775,0.125
01111100,0.0879,0.1875
00000001,0.00013,0.0
10011000,0.01048,0.0625
00101000,0.00032,0.0
00001001,0.00012,0.0
10011011,0.04172,0.25
10011001,0.00208,0.1875
10010000,0.00408,0.0625
